Protein,Sample1,Sample2,Sample3,Sample4,Sample5,Sample6,Sample7,Sample8,Sample9,Sample10,Sample11,Sample12,Sample13,Sample14,Sample15,Sample16,Sample17,Sample18,Sample19,Sample20,Sample21,Sample22,Sample23,Sample24,Sample25,Sample26,Sample27,Sample28,Sample29,Sample30,Sample31,Sample32,Sample33,Sample34,Sample35,Sample36,Sample37,Sample38,Sample39,Sample40,Sample41,Sample42,Sample43,Sample44,Sample45,Sample46
B2RSH2,6429739.16393102,4752204.17119455,5463885.08810402,4245990.49544985,4380445.94727465,4756957.70985264,5917243.86882907,3585415.23146724,5370588.94938255,5962271.72280345,5076390.98643035,7160442.60978596,6193771.85338703,5094147.06772118,5994413.72230261,5875891.37859277,3935841.68790196,4815407.14891005,4372607.03450474,4396400.09547767,4928798.14355477,4112514.88326548,3982099.16855361,4096587.65127148,5345865.36042635,4096465.51625591,4410158.19715898,3218485.07981503,4131219.84925357,4513006.11521888,4246047.9344066,4263271.69459727,1612243.08313184,1459903.49459134,1639522.46777355,1640154.43944458,1710994.77999586,2141822.20180149,1850731.69736003,1660782.11280368,2034668.36973527,1879660.56549977,2389076.8794984,2149983.2469106,2065647.14973038,1981254.6826467
B2RUJ5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,145058.082827315,287017.336994441,209435.617306886,205095.219765107,97615.8073885847,228254.414573586,171975.183491807,190376.70106882,75458.5368966741,183365.599299074,46368.4857177931,64560.1445004318,221476.775288211,177991.404975227,206715.491543479,163125.184558534,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B2RW38,733258.678846784,591749.561547213,703598.884584825,574093.298238949,767201.443896491,401971.70315729,584663.236681441,595772.004627262,792510.609576093,711833.159006156,600254.837810267,961576.054395728,406185.762848932,807454.016543356,546721.772718153,636554.899347549,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B2RXS4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,146893.258685346,187340.217225016,178298.068370374,113880.226682003,158655.879599616,127438.421007189,93432.100205434,162506.636844231,143530.869492953,173295.53506315,148827.740034327,154313.313689551,142013.241543963,142599.859324253
B2RY50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94047.5131826908,199998.34001049,171125.157573864,16401.5443944458,79327.9397998078,41015.8951644986,18507.3169736003,78396.0588732059,83594.9020123794,249398.865276068,74022.2180697045,98829.8750596001,46347.9579220754,58175.6948216643
B7ZNG0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,221137.496897585,224083.302969081,205349.068676508,193525.745829639,179229.023401992,124949.614874334,242788.494341375,207321.2242006,210433.666275232,132647.454812096,220507.909857949,285664.3561966,227804.683153588,173128.251833828,138555.2483859,226173.568774409,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B9EJ86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,267799.53752735,402396.399374265,140985.92774805,320789.959119782,327519.70347864,163319.969048342,250145.721442629,246193.953738213,424055.721433422,153129.782393375,249359.412082354,353271.58716313,107574.433711417,368627.008118093,403374.553768628,72355.5266477426,78104.2204717204,57467.8774460522,72548.8691989797,81658.7529425596,70306.3309598297,86529.6169527803,71939.7321070593,74467.3269934554,98578.8938825229,58498.7044287247,84792.6466248202,78543.7428105242,83142.2977766476,84424.1645025888
B9EJA2,511206.965785029,504352.703226393,467233.63429461,615668.62184023,446356.636373149,459897.756450699,340347.439710694,285754.898147013,580651.337709217,421747.76638861,363473.089561967,677105.298145924,561030.059183608,565429.186977351,339748.530189138,506305.973788743,562987.664119997,663667.995176514,598679.374350414,483814.364574098,708381.378207872,309914.399097757,681463.160253633,702699.341641458,475069.943560751,721758.210006993,655341.264811476,613226.151302035,775620.706927695,817982.358383421,540812.421119157,746572.930556237,149580.330490565,74176.5995228781,144482.917472544,143077.302164314,127546.883599691,148856.643025204,156715.184050648,158042.16879906,182962.427045962,187966.056549978,201700.752941258,187256.605376084,240131.481156157,212006.870499775
B9EJV3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,228851.032819487,265625.660974587,210354.071553956,153624.877201707,119046.483462948,NaN,178415.861211093,116907.592375129,153129.782393375,125710.116834906,275189.996469392,NaN,229540.828274063,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B9EKR1,6039318.56953673,6472829.81938566,6002577.98411428,6077073.89661261,6101038.56793093,5933032.12520367,6778704.193408,5122021.7592389,6355778.1560063,6326216.49582916,6937443.10365869,6197784.91753377,6507948.68652986,6510362.22762707,6511846.82862515,6238238.01360598,6481966.078787,6055016.9100156,6385232.23496602,6152856.5929532,6571730.85807304,7162466.11248151,6088105.42628751,6299375.65840285,5877263.50758602,6476316.9114141,6944968.74973167,5294312.73484366,5957273.26183392,6137299.26444636,6167943.31524327,6705145.62295815,1943648.60577561,1763698.44144272,1670263.5140443,1919329.66317982,1780990.02099569,1745585.09446821,2179087.3210852,1884005.51506224,2287030.33807453,2108887.46373146,2017007.52941258,2635463.33492267,2078557.44441619,2006493.59580144
C0HK79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27408.1324132413,21350.0337648329,23363.1951657731,31988.8277196637,30253.4986099267,25701.8664216179,42387.7259717943,NaN,26103.6911000921,NaN,21051.292175908,24360.6972734628,NaN,NaN
